idx,平台,昵称,频道链接,地区,粉丝数,是否游戏,类目,置信度,AI 判断理由,阶段
693,Youtube,Ez LoL Plays,https://www.youtube.com/@EzLoLPlays,美国,5560,是,MOBA,高,League of Legends (LoL) plays explicitly in name.,A
964,Youtube,Big Supa Gaming,https://www.youtube.com/@BigSupaGaming,美国,5430,是,FPS/Esports,高,Gaming channel name suggests competitive/FPS content,A
839,Youtube,SIMplycoya,https://www.youtube.com/@SIMplycoya,美国,5350,是,Simulation,高,SIMplycoya with SIM capitalization suggests simulation games.,A
1042,Youtube,GutzyAiden VODS,https://www.youtube.com/@GutzyAidenVods,美国,5340,是,Esports,高,VODS indicates esports/gaming stream archive content.,A
222,Youtube,Andy AKA LoveRetroBTW,https://www.youtube.com/@LoveRetroBTW,美国,5050,是,Retro,高,LoveRetroBTW explicitly indicates retro gaming focus.,A
818,Youtube,cozy  b e a n,https://www.youtube.com/@cozyybean,美国,4980,是,Casual,高,Cozy bean explicitly indicates casual cozy gaming.,A
317,Youtube,Super Nintendad,https://www.youtube.com/@SuperNintendad,美国,4890,是,Retro,高,Super Nintendo reference indicates retro gaming focus.,A
827,Youtube,DMHPlays,https://www.youtube.com/@dmhplays,美国,4760,是,Simulation,高,"About explicitly mentions VR gaming content, specifically Ghosts of Tabor.",B-recovered
833,Youtube,Kimchica,https://www.youtube.com/@Kimchica,美国,4470,是,Casual,高,Kimchica's Café focuses on indie games and gaming topics.,B-recovered
967,Youtube,RetroXgamez,https://www.youtube.com/@retroXgamez,美国,4200,是,Retro,高,RetroXgamez explicitly indicates retro gaming focus,A
559,Youtube,ValekGames,https://www.youtube.com/@valekgames4016,美国,4160,是,FPS,高,ValekGames handle indicates gaming; likely FPS.,A
840,Youtube,Kodek,https://www.youtube.com/@kodekYT,美国,4070,是,Casual,高,"Minecraft content creator, explicitly mentions game focus.",B-recovered
260,Youtube,Mr GVSMRB - ROBLOX,https://www.youtube.com/@MrGVSMRB,美国,3950,是,沙盒/Casual,高,"ROBLOX content creator, sandbox and casual games.",A
812,Youtube,CozygirlSteph,https://www.youtube.com/@CozygirlSteph,美国,3860,是,Casual,高,Cozygirl explicitly indicates cozy casual gaming.,A
754,Youtube,Board Games for One,https://www.youtube.com/@BoardgamesforOne,美国,3790,是,Casual,高,"Board games channel, casual gaming category.",A
1323,Youtube,MXSretro,https://www.youtube.com/@MXSretro,美国,3570,是,Retro,高,MXSretro explicitly indicates retro gaming,A
795,Youtube,Best Mobile Games,https://www.youtube.com/@BestMobileGamesChannel,美国,3550,是,手游,高,"Mobile games channel, mobile-first focus.",A
1402,Youtube,BoomMC,https://www.youtube.com/@BoomMC_Inc,美国,3440,是,沙盒,高,BoomMC likely refers to Minecraft content creation.,A
879,Youtube,DM Tales,https://www.youtube.com/@DMTalesTTRPG,美国,3430,是,RPG,高,"TTRPG (tabletop RPG) content, D&D-focused.",A
1419,Youtube,AkbarGaming TV,https://www.youtube.com/@AkbarGamingTV,美国,3230,是,FPS,高,AkbarGaming TV explicitly indicates gaming channel.,A
892,Youtube,Android Games Play Mix,https://www.youtube.com/@androidgameplaymix,美国,3170,是,手游,高,Android mobile game gameplay content.,A
694,Youtube,SHOGUN_FGC,https://www.youtube.com/@SHOGUN_FGC_,美国,2990,是,Esports,高,FGC (Fighting Game Community) esports focus.,A
1486,Youtube,Gamers' Generation,https://www.youtube.com/@gamers-generation,美国,2980,是,Casual,高,Gamers Generation explicitly indicates gaming focus.,A
217,Youtube,eStarland,https://www.youtube.com/@estarland,美国,2840,是,Retro,高,eStarland is classic retro gaming store/channel name.,A
809,Youtube,Cozy Games with Amelia ,https://www.youtube.com/@Ameliacozygames,美国,2730,是,Casual,高,Cozy games with Amelia explicitly indicates casual gaming.,A
1106,Youtube,Random Entertainment Gaming,https://www.youtube.com/@Randomytcodm,美国,2710,是,FPS,高,Handle 'Randomytcodm' indicates Call of Duty Mobile gameplay.,A
278,Youtube,OnlyAndroid Gameplay,https://www.youtube.com/@OnlyAndroidYT,美国,2700,是,手游,高,Android gameplay indicates mobile gaming focus.,A
95,Youtube,Cozy Gamer Val,https://www.youtube.com/@cozygamerval,美国,2590,是,Casual,高,Cozy Gamer Val indicates casual/relaxing game content,A
636,Youtube,The Arcade Athlete,https://www.youtube.com/@TheArcadeAthlete,美国,2550,是,Retro,高,Arcade athlete suggests retro arcade games,A
1254,Youtube,Gaming With Quint,https://www.youtube.com/@GamingWithQuint,美国,2530,是,Casual,高,Explicit 'Gaming' in name indicates gaming content.,A
1057,Youtube,Longplay Legends,https://www.youtube.com/@longplaylegends,美国,2470,是,Retro,高,Longplay Legends indicates retro game playthroughs,A
1175,Youtube,Diablo Dan,https://www.youtube.com/@diablodan1459,美国,2450,是,RPG,高,Diablo reference indicates RPG/action RPG focus.,A
1540,Youtube,Halo YaKs ,https://www.youtube.com/@HaloYaks,美国,2260,是,FPS,高,Halo YaKs indicates Halo FPS gameplay.,A
1009,Youtube,Daily Dose of LivestreamFail,https://www.youtube.com/@DailyDoseOfLSF,美国,2220,是,Esports,高,LivestreamFail is esports/gaming commentary platform.,A
366,Youtube,SocksGaming,https://www.youtube.com/@Fortniteleak,美国,2150,是,FPS,高,Handle '@Fortniteleak' directly indicates Fortnite FPS content.,A
1389,Youtube,bazoo,https://www.youtube.com/@bazoo.r6,美国,2130,是,FPS,高,R6 handle indicates Rainbow Six Siege FPS content.,A
1382,Youtube,RETRO WRECK ,https://www.youtube.com/@retro-wreck,美国,2120,是,Retro,高,Retro Wreck explicitly indicates retro gaming focus.,A
1531,Youtube,ShawnPlaysSims,https://www.youtube.com/@ShawnPlaysSims,美国,2110,是,Simulation,高,ShawnPlaysSims explicitly indicates The Sims gameplay.,A
671,Youtube,GameWithTony,https://www.youtube.com/@GameWithTonyYT,美国,2040,是,Casual,高,Gaming in name; likely casual/general gaming.,A
127,Youtube,Owatch Virtual Reality Simulator,https://www.youtube.com/@OwatchVirtualRealitySimulator,美国,1950,是,Simulation,高,Virtual Reality Simulator indicates VR/simulation games.,A
1263,Youtube,Tootru Gaming,https://www.youtube.com/@TooTruGaming,美国,1830,是,Casual,高,Explicit 'Gaming' in name indicates gaming focus.,A
1262,Youtube,Juelze Gaming Lounge,https://www.youtube.com/@juelze1,美国,1800,是,Casual,高,Explicit 'Gaming' in name indicates gaming channel.,A
723,Youtube,FarmGear Innovators,https://www.youtube.com/@FarmGearInnovators,美国,1790,是,Simulation,高,FarmGear Innovators indicates farming/agricultural simulation content.,A
1314,Youtube,Pixel Collector,https://www.youtube.com/@pixel_collector,美国,1710,是,Retro,高,Pixel Collector indicates retro/classic gaming focus,A
958,Youtube,QQ Machinery and Farming,https://www.youtube.com/@QQMachineryandFarming,美国,1700,是,Simulation,高,Farming and machinery content suggests farming simulator,A
296,Youtube,Candroid - Find Best Games \u0026 Apps,https://www.youtube.com/@candroid-findbestgamesapps4397,美国,1680,是,手游,高,Best games and apps finder for mobile platform.,A
1344,Youtube,4UBOSS MOD,https://www.youtube.com/@FARMING_MODS,美国,1660,是,Simulation,高,Farming Mods indicates farming simulator content,A
846,Youtube,Zeuswood: God Gamer,https://www.youtube.com/@ZeuswoodGodGamer,美国,1610,是,Casual,高,"Variety gaming channel, YouTube Partner, cozy gaming focus.",B-recovered
1391,Youtube,Angel,https://www.youtube.com/@AngelR6M,美国,1610,是,FPS,高,R6M handle indicates Rainbow Six Siege FPS content.,A
595,Youtube,cheatcode,https://www.youtube.com/@cheatcodeVAL,美国,1470,是,FPS,高,cheatcodeVAL indicates Valorant FPS gaming.,A
811,Youtube,Sabertooth Tigress,https://www.youtube.com/@SabertoothTigress,美国,1470,是,Casual,高,About explicitly states gaming creator focusing on Nintendo and cozy games.,B-recovered
507,Youtube,Lethal,https://www.youtube.com/@Lethal_COD,美国,1450,是,FPS,高,Handle references Call of Duty (COD).,A
1268,Youtube,GripCity Gaming,https://www.youtube.com/@GripCityGaming,美国,1450,是,Casual,高,Explicit 'Gaming' in name indicates gaming focus.,A
835,Youtube,Stormie Dae,https://www.youtube.com/@StormieDae,美国,1420,是,Casual,高,Indie game reviews discovering hidden gems explicitly stated.,B-recovered
298,Youtube,Racing JJ,https://www.youtube.com/@racingjj,美国,1250,是,Simulation,高,Racing JJ indicates racing simulation games.,A
626,Youtube,Mushi - Brawl Stars ,https://www.youtube.com/@MushiBS,美国,1170,是,手游,高,Brawl Stars mobile game explicitly named,A
825,Youtube,itsVlad Gaming,https://www.youtube.com/@itsVladGaming,美国,1080,是,Casual,高,About explicitly states gaming channel with gameplay content.,B-recovered
1320,Youtube,DrDisrespect of DMZ,https://www.youtube.com/@DrDisrespectofDMZ,美国,1080,是,FPS,高,"DrDisrespect is FPS streamer, DMZ is Call of Duty mode",A
858,Youtube,The Skylander Master,https://www.youtube.com/@TheSkylanderMaster,美国,1060,是,Casual,高,Skylanders is casual action-adventure game series.,A
820,Youtube,ScaryFace Gaming,https://www.youtube.com/@ScaryFace15,美国,1050,是,Casual,高,"About explicitly mentions gaming content: Roblox, Minecraft, tutorials, tips.",B-recovered
1266,Youtube,GamingHUB Bd,https://www.youtube.com/@GamingHUBBd,美国,1030,是,Casual,高,Explicit 'GamingHUB' in name indicates gaming content.,A
847,Youtube,Locked In Luke,https://www.youtube.com/@LockedInluke,美国,1020,是,RPG,高,"Capcom and FromSoftware games, story-driven gaming content.",B-recovered
113,Youtube,Cybersports,https://www.youtube.com/@cybersports,美国,940,是,Esports,高,Cybersports indicates esports coverage.,A
1223,Youtube,SLAYR,https://www.youtube.com/@SLAYR_FPS,美国,938,是,FPS,高,SLAYR_FPS handle explicitly indicates FPS gaming.,A
231,Youtube,RetroCade,https://www.youtube.com/@RetroCade77,美国,920,是,Retro,高,RetroCade explicitly indicates retro arcade gaming.,A
1414,Youtube,InfernoFox Gaming,https://www.youtube.com/@infernofoxgaming10,美国,834,是,FPS,高,InfernoFox Gaming explicitly indicates gaming channel.,A
1292,Youtube,Gamer Roundup,https://www.youtube.com/@GamerRoundup,美国,784,是,Casual,高,Explicit 'Gamer' in name indicates gaming content.,A
831,Youtube,Jd3mf,https://www.youtube.com/@Jd3mf,美国,685,是,Casual,高,Explicitly mentions indie games with humor focus.,B-recovered
834,Youtube,Vladimirledeux,https://www.youtube.com/@Vladimirledeux,美国,645,是,Casual,高,"Nerd dad showcasing indie games, clear gaming focus.",B-recovered
609,Youtube,JRracing Simulation,https://www.youtube.com/@jrracingsimulation,美国,642,是,Simulation,高,Racing simulation explicitly stated,A
254,Youtube,Quizzer Quiz Blitz,https://www.youtube.com/@Quizzer-Quiz-Blitz,美国,599,是,Casual,高,Quiz game content is casual gaming.,A
1969,Youtube,Mr E,https://www.youtube.com/@MrE_Gaming1,英国,9160,是,FPS/Esports,高,Mr E Gaming indicates gaming content creator.,A
1919,Youtube,The Cozy Gaming Club,https://www.youtube.com/@Cozygamingclub,英国,8180,是,Casual,高,Cozy gaming club suggests casual/relaxing games.,A
1932,Youtube,NNESAGA,https://www.youtube.com/@NNESAGA,英国,6610,是,Retro,高,NES in handle indicates retro/classic games.,A
1994,Youtube,KazGameplay,https://www.youtube.com/@KaziKaz1,英国,5220,是,FPS/Esports,高,KazGameplay indicates gaming content creator.,A
1995,Youtube,CGD GAMES,https://www.youtube.com/@CGDGAMES,英国,4830,是,FPS/Esports,高,CGD GAMES indicates gaming content creator.,A
1939,Youtube,Veteran Joystick,https://www.youtube.com/@VeteranJoystick,英国,4800,是,Retro,高,Joystick reference indicates retro/classic gaming.,A
1971,Youtube,Charlie Drives,https://www.youtube.com/@CharlieDrives,英国,4330,是,Simulation,高,Charlie Drives suggests driving/vehicle simulation.,A
1928,Youtube,erratic,https://www.youtube.com/@erraticlol,英国,3950,是,MOBA,高,Handle 'erraticlol' strongly suggests League of Legends.,A
1922,Youtube,WOT Arty Noobs,https://www.youtube.com/@WOTArtyNoobs,英国,3870,是,Simulation,高,WOT (World of Tanks) is vehicle simulation game.,A
1986,Youtube,Widdowmaker Who?,https://www.youtube.com/@WiddowmakerWho,英国,3710,是,FPS,高,Widowmaker is Overwatch character; FPS gaming.,A
2013,Youtube,Retro Wolf 13,https://www.youtube.com/@RetroWolf13,英国,3210,是,Retro,高,Retro Wolf clearly indicates retro/classic games focus.,A
2196,Youtube,WatsonRPGs,https://www.youtube.com/@WatsonRPGS1,英国,2420,是,RPG,高,WatsonRPGs explicitly indicates RPG gaming focus.,A
1987,Youtube,UDS Gaming,https://www.youtube.com/@UDSGaming,英国,2310,是,FPS/Esports,高,UDS Gaming indicates gaming content creator.,A
2130,Youtube,Wastelands Raceway,https://www.youtube.com/@WastelandsRaceway,英国,2050,是,Simulation,高,Raceway suggests racing/vehicle simulation games.,A
1988,Youtube,BillyJayGaming,https://www.youtube.com/@BillyJayGaming,英国,1910,是,FPS/Esports,高,BillyJay Gaming indicates gaming creator.,A
2173,Youtube,Lawnas Retro Games \u0026 Tech,https://www.youtube.com/@lawnasRetro,英国,1500,是,Retro,高,Retro Games explicitly stated in channel name.,A
2165,Youtube,Rpg World,https://www.youtube.com/@RpgWorld77,英国,1240,是,RPG,高,RPG World explicitly indicates role-playing games focus.,A
1982,Youtube,AgentMashGaming,https://www.youtube.com/@AgentMashGaming,英国,533,是,FPS/Esports,高,AgentMash Gaming indicates gaming creator.,A
2213,Youtube,The Van Gamer,https://www.youtube.com/@thevangamer,越南,9810,是,Casual,高,Van Gamer suggests casual gaming content.,A
2233,Youtube,Bàn Gaming VN,https://www.youtube.com/@BANGAMINGVN,越南,8720,是,Casual,高,Bàn Gaming VN (Gaming Desk) suggests gaming.,A
2229,Youtube,shynW,https://www.youtube.com/@shynwcs2,越南,6720,是,FPS,高,shynwcs2 indicates CS2 (Counter-Strike 2) FPS.,A
2223,Youtube,Ku Nhỏ Gaming,https://www.youtube.com/@kunhogaming,越南,4960,是,Casual,高,Ku Nhỏ Gaming explicitly gaming channel.,A
2212,Youtube,nDroid Game,https://www.youtube.com/@nDroid-Game,越南,4870,是,Casual,高,nDroid Game suggests mobile/casual gaming.,A
2235,Youtube,Willis Maximus Huynh | WHM Gaming,https://www.youtube.com/@WillisMaximusHuynh,越南,3930,是,Casual,高,WHM Gaming explicitly gaming channel.,A
2225,Youtube,LongB Gaming,https://www.youtube.com/@LongBGaming,越南,3830,是,Casual,高,LongB Gaming explicitly gaming channel.,A
2238,Youtube,Yasuo Cao Thủ ,https://www.youtube.com/@Yasuocaothu,越南,3330,是,MOBA,高,Yasuo is League of Legends champion.,A
2217,Youtube,MineMigg,https://www.youtube.com/@minemigg,越南,2770,是,沙盒,高,MineMigg strongly suggests Minecraft content.,A
2231,Youtube,Laptop Game Official,https://www.youtube.com/@LaptopGameOfficial,越南,2600,是,Casual,高,Laptop Game Official suggests gaming.,A
2237,Youtube,Vkids - Educational Games For Children,https://www.youtube.com/@vkids-educationalgamesforc8199,越南,2300,是,Casual,高,Educational games for children.,A
2219,Youtube,Thế Hiển Gaming TV,https://www.youtube.com/@thehiengamingtv,越南,1140,是,Casual,高,Gaming TV channel name indicates gaming.,A
1779,Youtube,FornaTRON,https://www.youtube.com/@FornaTRON,加拿大,5910,是,FPS,中,FornaTRON suggests Fortnite gaming content.,A
1748,Youtube,Quartz,https://www.youtube.com/@QuartzFN1,加拿大,3710,是,FPS,中,FN1 likely Fortnite; FPS battle royale game.,A
1812,Youtube,The Nerd Shelves,https://www.youtube.com/@TheNerdShelves,加拿大,3230,是,Retro,中,Nerd shelves suggests collectibles/retro gaming interest.,A
1729,Youtube,LxRazer,https://www.youtube.com/@LxRazer,加拿大,3160,是,FPS,中,Razer brand suggests competitive gaming/FPS peripherals.,A
1840,Youtube,Gumbo ,https://www.youtube.com/@GumboGambles,加拿大,3100,是,Casual,中,Gambles suggests casual/gambling game content.,A
1737,Youtube,IT'S ZOE TIME! - Fun Videos for Kids,https://www.youtube.com/@itszoetime,加拿大,2150,是,Casual,中,Fun Videos for Kids suggests casual/family gaming.,A
1821,Youtube,Simple Island Living- Avenue Azores,https://www.youtube.com/@SimpleIslandLivingAvenueAzores,加拿大,1940,是,Simulation,中,Island living suggests life simulation content.,A
1710,Youtube,JDP Build's,https://www.youtube.com/@JDPBuilds,加拿大,1830,是,沙盒,中,Build focus suggests Minecraft or sandbox creation content.,A
1769,Youtube,Shania ,https://www.youtube.com/@shaniagaming,加拿大,1720,是,Casual,中,Gaming handle suggests casual gaming content.,A
1756,Youtube,Cheffrey Plays Games,https://www.youtube.com/@CheffreyPlaysGames,加拿大,1670,是,Casual,中,Chef + games suggests casual gaming content.,A
